Time	Carl level (in)	Dug level (in)
2023-02-03T14:34	12.0	13.2
2023-02-03T15:04	12.0	13.2
2023-02-03T15:34	12.1	13.3
2023-02-03T16:04	12.1	13.3
2023-02-03T16:34	12.2	13.3
2023-02-03T17:04	12.2	13.3
2023-02-03T17:34	12.3	13.4
2023-02-03T18:04	12.3	13.4
